"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Middle East and North Africa (IFC classification)","CME","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.10000038146973","","","","","7.5","","","","4.40000009536743","","2.90000009536743","","","3.79999995231628","","","",
"Congo, Rep.","COG","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","9.10000038146973","8.10000038146973","9.10000038146973","11.1000003814697","13.1000003814697","14","12.8999996185303","10.8000001907349","10.1000003814697","8.89999961853027","10.1999998092651","10.1999998092651","9.5","8.5","8.39999961853027","8.69999980926514","11.8999996185303","12.1000003814697","15","20.1000003814697","16.6000003814697","15.1000003814697","15.8000001907349","14.1000003814697","14.3000001907349","12","11.6999998092651","11.1999998092651","11.1000003814697","11.8000001907349","12","11.1000003814697","10.6000003814697","",
"Comoros","COM","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","5.90000009536743","8.69999980926514","9.39999961853027","9","5.40000009536743","6.90000009536743","6.30000019073486","5.59999990463257","5.40000009536743","3.70000004768372","4.69999980926514","5.59999990463257","4.09999990463257","4.09999990463257","4.19999980926514","5.19999980926514","6.19999980926514","5.69999980926514","5.59999990463257","6","5.09999990463257","6","6.40000009536743","6.59999990463257","6.40000009536743","6.59999990463257","5.90000009536743","4.59999990463257","4.90000009536743","7.80000019073486","7.30000019073486","7.69999980926514","7.80000019073486","",
"South Asia (IFC classification)","CSA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6988791522368","15.6475028887884","16.3421092733313","17.1608010245878","16.208944143661","15.6799864192222","15.3153381980353","15.2082917689105","14.3246139810415","14.0843679013207","","12.876677596008","12.4781839830693","11.6288954850369","10.5880196237427","10.2122696914774","8.70097650807476","8.21779379048603","8.94891228107526","","","","","",
"Cuba","CUB","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.30000019073486","7.59999990463257","7.09999990463257","6.19999980926514","6.30000019073486","5.40000009536743","4.09999990463257","3.29999995231628","2.29999995231628","1.89999997615814","1.89999997615814","1.89999997615814","1.79999995231628","1.60000002384186","1.70000004768372","2.5","3.20000004768372","","",
